Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah;T07;T13;T18;T_Avg;T_Max;T_Min;Rain;Sun;Pressure;RH07;RH13;RH18;RH_Avg;WS_Avg;WD_Most;WS_Max;WD_Max;Tanggal_DT
;2015;5;13;;;;;;;;;;;;;;;;;;;27.8;32.4;29.8;29.21666667;32.4;26.8;0.0;90.0;1011.2;0.0;0.0;0.0;76.00256718;7.5;0.0;12.0;80.0;2015-05-13
;2015;5;14;;;;;;;;;;;;;;;;;;;28.1;32.0;29.7;29.73333333;32.0;25.0;0.0;97.5;1011.7;0.0;0.0;0.0;72.33958842;10.0;0.0;15.0;90.0;2015-05-14
;2015;5;15;;;;;;;;;;;;;;;;;;;29.4;31.6;29.7;29.27916667;31.9;26.8;0.0;100.0;1012.8;0.0;0.0;0.0;71.59971527;8.0;0.0;13.0;90.0;2015-05-15
;2015;5;16;;;;;;;;;;;;;;;;;;;26.5;31.8;29.6;28.6375;31.8;25.6;0.0;97.5;1012.6;0.0;0.0;0.0;72.48519458;6.0;0.0;10.0;120.0;2015-05-16
;2015;5;17;;;;;;;;;;;;;;;;;;;25.4;31.4;29.3;28.2625;31.4;24.8;0.0;100.0;1011.0;0.0;0.0;0.0;70.31692895;7.0;0.0;11.0;110.0;2015-05-17
;2015;5;18;;;;;;;;;;;;;;;;;;;26.4;30.7;28.9;27.94583333;31.0;24.7;1.6;100.0;1011.8;0.0;0.0;0.0;71.67834295;7.5;0.0;12.0;90.0;2015-05-18
;2015;5;19;;;;;;;;;;;;;;;;;;;23.7;30.5;28.9;27.48333333;31.0;23.1;0.0;100.0;1012.5;0.0;0.0;0.0;70.73705949;6.0;0.0;10.0;80.0;2015-05-19
;2015;5;20;;;;;;;;;;;;;;;;;;;24.3;30.4;28.7;27.35;30.6;23.4;0.0;100.0;1013.4;0.0;0.0;0.0;74.27137169;6.5;0.0;10.0;100.0;2015-05-20
;2015;5;21;;;;;;;;;;;;;;;;;;;23.7;30.9;28.7;27.5875;31.2;22.7;0.0;100.0;1013.3;0.0;0.0;0.0;74.8817846;7.0;0.0;12.0;110.0;2015-05-21
;2015;5;22;;;;;;;;;;;;;;;;;;;24.4;31.6;29.6;28.50416667;31.6;23.1;0.0;100.0;1013.1;0.0;0.0;0.0;73.00264292;5.5;0.0;9.0;80.0;2015-05-22
;2015;5;23;;;;;;;;;;;;;;;;;;;25.2;31.0;29.7;28.73333333;31.6;24.3;0.0;66.25;1012.9;0.0;0.0;0.0;76.1532468;6.0;0.0;11.0;140.0;2015-05-23
;2015;5;24;;;;;;;;;;;;;;;;;;;26.4;31.0;29.2;28.53333333;31.2;25.0;19.5;100.0;1012.3;0.0;0.0;0.0;79.41835562;6.5;0.0;10.0;100.0;2015-05-24
;2015;5;25;;;;;;;;;;;;;;;;;;;27.1;31.5;29.4;29.04166667;31.2;25.3;19.7;97.5;1012.7;0.0;0.0;0.0;77.99935764;8.0;0.0;13.0;120.0;2015-05-25
;2015;5;26;;;;;;;;;;;;;;;;;;;25.0;31.2;29.2;28.54583333;31.3;25.1;28.8;76.25;1014.0;0.0;0.0;0.0;80.16846748;7.5;0.0;13.0;110.0;2015-05-26
;2015;5;27;;;;;;;;;;;;;;;;;;;26.4;31.3;29.7;29.0625;31.6;25.0;32.9;100.0;1012.4;0.0;0.0;0.0;78.27520984;5.0;0.0;8.0;120.0;2015-05-27
;2015;5;28;;;;;;;;;;;;;;;;;;;28.1;31.6;30.0;28.72083333;31.4;26.2;0.9;100.0;1011.4;0.0;0.0;0.0;74.13833087;7.5;0.0;13.0;110.0;2015-05-28
